model,accuracy,f1_macro,auc_macro,precision_macro,inference_ms,total_params_M
vgg16_bn,0.9669,0.9665,0.9993,0.9667,139.74,134.3
mobilenet_v2,0.9526,0.9511,0.9986,0.9523,27.97,2.9
